"Area","Year","NPT","POT","HAL","PTR","JIG","Sum"
"AI","2013","58","87","937",NA,NA,"1,082"
"AI","2014","26","160","627",NA,NA,"813"
"AI","2015","15","12","394",NA,NA,"422"
"AI","2016","30","21","289",NA,NA,"340"
"AI","2017","129","269","191",NA,NA,"588"
"AI","2018","179","286","199",NA,NA,"664"
"AI","2019","241","204","218",NA,NA,"663"
"AI","2020","695","398","139","<1",NA,"1,232"
"AI","2021","774","570","234","1",NA,"1,578"
"AI","2022","1,115","911","204",NA,NA,"2,230"
"BS","2013","133","352","150","<1",NA,"635"
"BS","2014","34","164","115","<1",NA,"314"
"BS","2015","17","108","85","<1",NA,"210"
"BS","2016","239","158","116","18",NA,"531"
"BS","2017","588","365","106","91",NA,"1,150"
"BS","2018","623","370","148","395",NA,"1,536"
"BS","2019","1,283","419","237","1,223",NA,"3,162"
"BS","2020","1,071","582","280","3,396",NA,"5,329"
"BS","2021","1,396","1,361","333","1,080",NA,"4,169"
"BS","2022","2,120","2,926","218","250",NA,"5,514"
"WGOA","2013","13","<1","1,345","<1",NA,"1,358"
"WGOA","2014","61","<1","1,134","<1",NA,"1,194"
"WGOA","2015","35","<1","954","8",NA,"998"
"WGOA","2016","38","1","1,004","9",NA,"1,052"
"WGOA","2017","57","226","889","10",NA,"1,181"
"WGOA","2018","218","365","801","6",NA,"1,389"
"WGOA","2019","277","459","754","44",NA,"1,533"
"WGOA","2020","175","1,082","196","8",NA,"1,462"
"WGOA","2021","180","1,665","148","1",NA,"1,994"
"WGOA","2022","225","2,590","212","1",NA,"3,028"
"CGOA","2013","659",NA,"4,527","<1",NA,"5,187"
"CGOA","2014","736","2","3,982","16",NA,"4,736"
"CGOA","2015","780","2","3,822","22",NA,"4,626"
"CGOA","2016","803","8","3,361","23","<1","4,195"
"CGOA","2017","1,192","443","3,203","1",NA,"4,838"
"CGOA","2018","2,114","549","3,105","10",NA,"5,778"
"CGOA","2019","1,944","1,619","2,701","16",NA,"6,280"
"CGOA","2020","2,026","2,608","1,369","38",NA,"6,041"
"CGOA","2021","1,288","5,310","710","16",NA,"7,325"
"CGOA","2022","1,472","5,900","715","77",NA,"8,165"
"WY","2013","173",NA,"1,929","1",NA,"2,102"
"WY","2014","152",NA,"1,519","<1",NA,"1,671"
"WY","2015","212",NA,"1,654",NA,NA,"1,866"
"WY","2016","177",NA,"1,474",NA,NA,"1,651"
"WY","2017","206","92","1,396",NA,NA,"1,694"
"WY","2018","236","45","1,581","<1",NA,"1,861"
"WY","2019","126","168","1,508","<1",NA,"1,802"
"WY","2020","83","561","1,190","<1",NA,"1,835"
"WY","2021","117","1,536","677","<1",NA,"2,329"
"WY","2022","105","2,161","483",NA,NA,"2,750"
"EY","2013",NA,NA,"3,246",NA,NA,"3,246"
"EY","2014",NA,NA,"2,817",NA,NA,"2,817"
"EY","2015",NA,NA,"2,811",NA,NA,"2,811"
"EY","2016",NA,NA,"2,455",NA,NA,"2,455"
"EY","2017",NA,"137","2,678",NA,NA,"2,816"
"EY","2018",NA,"163","2,856",NA,NA,"3,019"
"EY","2019",NA,"262","2,851",NA,NA,"3,113"
"EY","2020",NA,"499","2,638",NA,NA,"3,137"
"EY","2021",NA,"1,330","2,542",NA,NA,"3,872"
"EY","2022",NA,"2,998","2,224",NA,NA,"5,221"
